tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
25.613232,60.42888,keyboard_electronic_098-037-100,keyboard_electronic_098-037-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_098-037-100.wav,905,keyboard_electronic_098,4,keyboard,1,electronic,37,100,16000,dark|distortion
-29.018703,23.39545,reed_acoustic_018-060-025,reed_acoustic_018-060-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_018-060-025.wav,183,reed_acoustic_018,7,reed,0,acoustic,60,25,16000,
-44.40337,-40.89625,vocal_synthetic_003-104-075,vocal_synthetic_003-104-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/vocal_synthetic_003-104-075.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,104,75,16000,bright|distortion|long_release|nonlinear_env
-2.0128434,-4.2033043,organ_electronic_113-058-050,organ_electronic_113-058-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_113-058-050.wav,958,organ_electronic_113,6,organ,1,electronic,58,50,16000,dark
-6.4314303,19.056332,keyboard_electronic_078-045-127,keyboard_electronic_078-045-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_078-045-127.wav,838,keyboard_electronic_078,4,keyboard,1,electronic,45,127,16000,bright
-9.609623,-17.832537,reed_acoustic_037-065-050,reed_acoustic_037-065-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_037-065-050.wav,387,reed_acoustic_037,7,reed,0,acoustic,65,50,16000,reverb
-29.950773,2.4534569,organ_electronic_007-069-075,organ_electronic_007-069-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_007-069-075.wav,123,organ_electronic_007,6,organ,1,electronic,69,75,16000,distortion|long_release|nonlinear_env
-22.39613,-34.72531,brass_acoustic_006-088-075,brass_acoustic_006-088-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-088-075.wav,43,brass_acoustic_006,1,brass,0,acoustic,88,75,16000,reverb
-54.30023,-27.176613,flute_acoustic_002-080-050,flute_acoustic_002-080-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-080-050.wav,86,flute_acoustic_002,2,flute,0,acoustic,80,50,16000,reverb
-20.253233,28.358255,brass_acoustic_006-045-050,brass_acoustic_006-045-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-045-050.wav,43,brass_acoustic_006,1,brass,0,acoustic,45,50,16000,reverb
8.741033,-47.111244,reed_acoustic_023-032-025,reed_acoustic_023-032-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_023-032-025.wav,224,reed_acoustic_023,7,reed,0,acoustic,32,25,16000,bright|fast_decay|multiphonic|nonlinear_env
-36.795414,30.024918,organ_electronic_104-060-075,organ_electronic_104-060-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_104-060-075.wav,921,organ_electronic_104,6,organ,1,electronic,60,75,16000,
-15.374482,-18.458757,reed_acoustic_011-065-075,reed_acoustic_011-065-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_011-065-075.wav,104,reed_acoustic_011,7,reed,0,acoustic,65,75,16000,
9.384757,59.256844,guitar_acoustic_014-021-050,guitar_acoustic_014-021-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_014-021-050.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,21,50,16000,
-7.199902,-32.427715,brass_acoustic_006-070-127,brass_acoustic_006-070-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-070-127.wav,43,brass_acoustic_006,1,brass,0,acoustic,70,127,16000,reverb
17.73653,63.26637,string_acoustic_012-036-100,string_acoustic_012-036-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_012-036-100.wav,97,string_acoustic_012,8,string,0,acoustic,36,100,16000,long_release|reverb
-40.069145,51.649273,organ_electronic_007-037-050,organ_electronic_007-037-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/organ_electronic_007-037-050.wav,123,organ_electronic_007,6,organ,1,electronic,37,50,16000,distortion|long_release|nonlinear_env
-22.18086,-23.728197,guitar_electronic_028-096-050,guitar_electronic_028-096-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_electronic_028-096-050.wav,510,guitar_electronic_028,3,guitar,1,electronic,96,50,16000,
23.730356,61.541927,keyboard_electronic_002-025-075,keyboard_electronic_002-025-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_002-025-075.wav,50,keyboard_electronic_002,4,keyboard,1,electronic,25,75,16000,distortion
33.972202,31.78568,bass_synthetic_135-045-050,bass_synthetic_135-045-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_135-045-050.wav,927,bass_synthetic_135,0,bass,2,synthetic,45,50,16000,distortion
27.262808,-54.377357,bass_synthetic_068-104-025,bass_synthetic_068-104-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_068-104-025.wav,656,bass_synthetic_068,0,bass,2,synthetic,104,25,16000,bright|fast_decay|percussive
34.32355,-14.650163,keyboard_electronic_001-067-025,keyboard_electronic_001-067-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_001-067-025.wav,40,keyboard_electronic_001,4,keyboard,1,electronic,67,25,16000,dark
22.17374,41.430897,flute_synthetic_000-055-050,flute_synthetic_000-055-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-055-050.wav,82,flute_synthetic_000,2,flute,2,synthetic,55,50,16000,distortion
46.081257,2.7842317,string_acoustic_014-035-050,string_acoustic_014-035-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_014-035-050.wav,100,string_acoustic_014,8,string,0,acoustic,35,50,16000,dark|reverb
43.096416,11.596463,bass_synthetic_068-021-100,bass_synthetic_068-021-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/bass_synthetic_068-021-100.wav,656,bass_synthetic_068,0,bass,2,synthetic,21,100,16000,dark
40.1771,-0.900158,guitar_acoustic_030-048-025,guitar_acoustic_030-048-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_030-048-025.wav,642,guitar_acoustic_030,3,guitar,0,acoustic,48,25,16000,tempo-synced
-16.679537,33.748756,reed_acoustic_037-037-100,reed_acoustic_037-037-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/reed_acoustic_037-037-100.wav,387,reed_acoustic_037,7,reed,0,acoustic,37,100,16000,reverb
11.663007,-17.273478,guitar_acoustic_014-085-127,guitar_acoustic_014-085-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_014-085-127.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,85,127,16000,fast_decay|percussive
48.13662,21.895132,mallet_acoustic_062-037-075,mallet_acoustic_062-037-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-037-075.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,37,75,16000,dark|multiphonic
18.504715,10.630493,guitar_acoustic_021-041-100,guitar_acoustic_021-041-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_021-041-100.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,41,100,16000,
0.25465572,59.048405,keyboard_electronic_002-022-050,keyboard_electronic_002-022-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/keyboard_electronic_002-022-050.wav,50,keyboard_electronic_002,4,keyboard,1,electronic,22,50,16000,distortion
7.1797266,3.3466148,guitar_acoustic_015-059-050,guitar_acoustic_015-059-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_015-059-050.wav,316,guitar_acoustic_015,3,guitar,0,acoustic,59,50,16000,reverb
-35.685974,23.804562,guitar_acoustic_010-060-127,guitar_acoustic_010-060-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_010-060-127.wav,219,guitar_acoustic_010,3,guitar,0,acoustic,60,127,16000,
48.825005,29.686672,flute_synthetic_000-049-100,flute_synthetic_000-049-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-049-100.wav,82,flute_synthetic_000,2,flute,2,synthetic,49,100,16000,distortion
-6.7310686,14.298977,flute_acoustic_002-081-075,flute_acoustic_002-081-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-081-075.wav,86,flute_acoustic_002,2,flute,0,acoustic,81,75,16000,reverb
