tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
6.0031767,-58.41496,organ_electronic_028-091-025,organ_electronic_028-091-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_028-091-025.wav,440,organ_electronic_028,6,organ,1,electronic,91,25,16000,
-13.162741,49.47121,brass_acoustic_006-043-127,brass_acoustic_006-043-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_006-043-127.wav,43,brass_acoustic_006,1,brass,0,acoustic,43,127,16000,reverb
5.851042,-29.909206,bass_synthetic_068-075-050,bass_synthetic_068-075-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_synthetic_068-075-050.wav,656,bass_synthetic_068,0,bass,2,synthetic,75,50,16000,
28.17233,-1.6345328,mallet_acoustic_062-061-050,mallet_acoustic_062-061-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/mallet_acoustic_062-061-050.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,61,50,16000,dark|fast_decay|multiphonic
-41.73905,-16.944304,reed_acoustic_018-073-025,reed_acoustic_018-073-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_018-073-025.wav,183,reed_acoustic_018,7,reed,0,acoustic,73,25,16000,
4.5048814,-22.467884,guitar_acoustic_015-073-075,guitar_acoustic_015-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_015-073-075.wav,316,guitar_acoustic_015,3,guitar,0,acoustic,73,75,16000,reverb
-2.7159634,14.382229,organ_electronic_113-062-075,organ_electronic_113-062-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_113-062-075.wav,958,organ_electronic_113,6,organ,1,electronic,62,75,16000,dark
31.86027,-29.933598,guitar_acoustic_014-087-025,guitar_acoustic_014-087-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_014-087-025.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,87,25,16000,fast_decay|percussive
-15.575695,61.20712,brass_acoustic_059-033-127,brass_acoustic_059-033-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_059-033-127.wav,572,brass_acoustic_059,1,brass,0,acoustic,33,127,16000,reverb
-34.718113,-17.947083,reed_acoustic_037-074-050,reed_acoustic_037-074-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_037-074-050.wav,387,reed_acoustic_037,7,reed,0,acoustic,74,50,16000,reverb
51.220005,15.837059,string_acoustic_014-032-127,string_acoustic_014-032-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_014-032-127.wav,100,string_acoustic_014,8,string,0,acoustic,32,127,16000,dark|fast_decay|reverb
38.692844,-14.950777,string_acoustic_056-073-075,string_acoustic_056-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_056-073-075.wav,436,string_acoustic_056,8,string,0,acoustic,73,75,16000,fast_decay|percussive|reverb
-50.9113,0.968844,organ_electronic_113-068-025,organ_electronic_113-068-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_113-068-025.wav,958,organ_electronic_113,6,organ,1,electronic,68,25,16000,
-13.994518,39.153484,string_acoustic_012-050-127,string_acoustic_012-050-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_012-050-127.wav,97,string_acoustic_012,8,string,0,acoustic,50,127,16000,reverb
1.7091408,73.822876,string_acoustic_080-043-100,string_acoustic_080-043-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_080-043-100.wav,675,string_acoustic_080,8,string,0,acoustic,43,100,16000,long_release|reverb
-14.043517,53.26003,brass_acoustic_006-040-025,brass_acoustic_006-040-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_006-040-025.wav,43,brass_acoustic_006,1,brass,0,acoustic,40,25,16000,reverb
19.542381,24.92672,keyboard_electronic_001-056-100,keyboard_electronic_001-056-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_001-056-100.wav,40,keyboard_electronic_001,4,keyboard,1,electronic,56,100,16000,
11.792539,91.45714,flute_synthetic_000-035-100,flute_synthetic_000-035-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/flute_synthetic_000-035-100.wav,82,flute_synthetic_000,2,flute,2,synthetic,35,100,16000,distortion
-10.518302,-37.02079,keyboard_electronic_078-084-075,keyboard_electronic_078-084-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_078-084-075.wav,838,keyboard_electronic_078,4,keyboard,1,electronic,84,75,16000,bright
52.04522,9.06686,keyboard_acoustic_004-091-050,keyboard_acoustic_004-091-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_acoustic_004-091-050.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,91,50,16000,dark|reverb
-35.846973,28.621508,string_acoustic_012-053-100,string_acoustic_012-053-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_012-053-100.wav,97,string_acoustic_012,8,string,0,acoustic,53,100,16000,reverb
-20.80974,-40.41124,string_acoustic_057-084-075,string_acoustic_057-084-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_057-084-075.wav,450,string_acoustic_057,8,string,0,acoustic,84,75,16000,bright|nonlinear_env|reverb
25.280157,-16.030397,bass_synthetic_033-096-050,bass_synthetic_033-096-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_synthetic_033-096-050.wav,417,bass_synthetic_033,0,bass,2,synthetic,96,50,16000,
17.930986,-5.020695,keyboard_acoustic_004-067-050,keyboard_acoustic_004-067-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_acoustic_004-067-050.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,67,50,16000,dark|reverb
33.554153,-83.286446,reed_acoustic_023-093-075,reed_acoustic_023-093-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_023-093-075.wav,224,reed_acoustic_023,7,reed,0,acoustic,93,75,16000,fast_decay|multiphonic|nonlinear_env
14.326757,66.59413,guitar_acoustic_021-034-025,guitar_acoustic_021-034-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_021-034-025.wav,457,guitar_acoustic_021,3,guitar,0,acoustic,34,25,16000,
5.9923444,-12.601282,keyboard_acoustic_004-070-127,keyboard_acoustic_004-070-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_acoustic_004-070-127.wav,327,keyboard_acoustic_004,4,keyboard,0,acoustic,70,127,16000,reverb
4.0079336,2.55595,keyboard_electronic_078-063-025,keyboard_electronic_078-063-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_078-063-025.wav,838,keyboard_electronic_078,4,keyboard,1,electronic,63,25,16000,bright
27.034456,11.610017,bass_electronic_018-058-127,bass_electronic_018-058-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_electronic_018-058-127.wav,759,bass_electronic_018,0,bass,1,electronic,58,127,16000,
-30.641895,67.480896,vocal_synthetic_003-031-075,vocal_synthetic_003-031-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/vocal_synthetic_003-031-075.wav,37,vocal_synthetic_003,10,vocal,2,synthetic,31,75,16000,distortion|long_release|nonlinear_env
-43.397793,18.976902,vocal_acoustic_000-051-100,vocal_acoustic_000-051-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/vocal_acoustic_000-051-100.wav,46,vocal_acoustic_000,10,vocal,0,acoustic,51,100,16000,reverb
45.70623,2.6160927,string_acoustic_014-062-050,string_acoustic_014-062-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_014-062-050.wav,100,string_acoustic_014,8,string,0,acoustic,62,50,16000,dark|percussive|reverb
3.547252,45.071255,keyboard_electronic_002-050-075,keyboard_electronic_002-050-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/keyboard_electronic_002-050-075.wav,50,keyboard_electronic_002,4,keyboard,1,electronic,50,75,16000,
24.695095,3.2672567,mallet_acoustic_062-061-127,mallet_acoustic_062-061-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/mallet_acoustic_062-061-127.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,61,127,16000,dark|long_release|multiphonic
