tsne_x,tsne_y,id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
33.363045,-9.983645,mallet_acoustic_062-055-050,mallet_acoustic_062-055-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_062-055-050.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,55,50,16000,dark|multiphonic
36.946636,-13.372133,string_acoustic_056-041-025,string_acoustic_056-041-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_056-041-025.wav,436,string_acoustic_056,8,string,0,acoustic,41,25,16000,fast_decay|percussive|reverb
24.401436,-40.51712,guitar_acoustic_030-102-127,guitar_acoustic_030-102-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/guitar_acoustic_030-102-127.wav,642,guitar_acoustic_030,3,guitar,0,acoustic,102,127,16000,fast_decay|percussive|tempo-synced
-35.602642,32.988045,flute_acoustic_002-085-050,flute_acoustic_002-085-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-085-050.wav,86,flute_acoustic_002,2,flute,0,acoustic,85,50,16000,long_release|reverb
-20.317062,-33.980373,flute_acoustic_002-105-100,flute_acoustic_002-105-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_acoustic_002-105-100.wav,86,flute_acoustic_002,2,flute,0,acoustic,105,100,16000,bright|reverb
38.752148,-32.748783,mallet_acoustic_056-049-050,mallet_acoustic_056-049-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/mallet_acoustic_056-049-050.wav,590,mallet_acoustic_056,5,mallet,0,acoustic,49,50,16000,fast_decay|percussive
21.722952,38.386166,flute_synthetic_000-031-025,flute_synthetic_000-031-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-031-025.wav,82,flute_synthetic_000,2,flute,2,synthetic,31,25,16000,distortion
19.687391,37.851192,flute_synthetic_000-029-127,flute_synthetic_000-029-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/flute_synthetic_000-029-127.wav,82,flute_synthetic_000,2,flute,2,synthetic,29,127,16000,distortion
-3.7785058,23.323217,brass_acoustic_006-039-025,brass_acoustic_006-039-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/brass_acoustic_006-039-025.wav,43,brass_acoustic_006,1,brass,0,acoustic,39,25,16000,long_release|reverb
27.121763,14.583399,string_acoustic_014-029-100,string_acoustic_014-029-100,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-test/audio/string_acoustic_014-029-100.wav,100,string_acoustic_014,8,string,0,acoustic,29,100,16000,dark|reverb
