id,note_str,audio_path,instrument,instrument_str,instrument_family,instrument_family_str,instrument_source,instrument_source_str,pitch,velocity,sample_rate,qualities_str
organ_electronic_028-091-025,organ_electronic_028-091-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_028-091-025.wav,440,organ_electronic_028,6,organ,1,electronic,91,25,16000,
brass_acoustic_006-043-127,brass_acoustic_006-043-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_006-043-127.wav,43,brass_acoustic_006,1,brass,0,acoustic,43,127,16000,reverb
bass_synthetic_068-075-050,bass_synthetic_068-075-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/bass_synthetic_068-075-050.wav,656,bass_synthetic_068,0,bass,2,synthetic,75,50,16000,
mallet_acoustic_062-061-050,mallet_acoustic_062-061-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/mallet_acoustic_062-061-050.wav,644,mallet_acoustic_062,5,mallet,0,acoustic,61,50,16000,dark|fast_decay|multiphonic
reed_acoustic_018-073-025,reed_acoustic_018-073-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_018-073-025.wav,183,reed_acoustic_018,7,reed,0,acoustic,73,25,16000,
guitar_acoustic_015-073-075,guitar_acoustic_015-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_015-073-075.wav,316,guitar_acoustic_015,3,guitar,0,acoustic,73,75,16000,reverb
organ_electronic_113-062-075,organ_electronic_113-062-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/organ_electronic_113-062-075.wav,958,organ_electronic_113,6,organ,1,electronic,62,75,16000,dark
guitar_acoustic_014-087-025,guitar_acoustic_014-087-025,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/guitar_acoustic_014-087-025.wav,263,guitar_acoustic_014,3,guitar,0,acoustic,87,25,16000,fast_decay|percussive
brass_acoustic_059-033-127,brass_acoustic_059-033-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/brass_acoustic_059-033-127.wav,572,brass_acoustic_059,1,brass,0,acoustic,33,127,16000,reverb
reed_acoustic_037-074-050,reed_acoustic_037-074-050,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/reed_acoustic_037-074-050.wav,387,reed_acoustic_037,7,reed,0,acoustic,74,50,16000,reverb
string_acoustic_014-032-127,string_acoustic_014-032-127,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_014-032-127.wav,100,string_acoustic_014,8,string,0,acoustic,32,127,16000,dark|fast_decay|reverb
string_acoustic_056-073-075,string_acoustic_056-073-075,/root/autodl-tmp/tokenizer-eval/data/nsynth/nsynth-valid/audio/string_acoustic_056-073-075.wav,436,string_acoustic_056,8,string,0,acoustic,73,75,16000,fast_decay|percussive|reverb
